date,region,production_ton,operational_cost,sales_revenue,inventory_stock,profit
2024-01-01,Sulawesi,183,7977,17231,336,9254
2024-01-02,Sumatra,125,5602,7009,380,1407
2024-01-03,Sulawesi,103,6134,7260,458,1126
2024-01-04,Sulawesi,193,5522,13038,300,7516
2024-01-05,Sumatra,111,6268,16865,345,10597
2024-01-06,Sumatra,126,6748,9219,377,2471
2024-01-07,Sulawesi,165,6849,14041,334,7192
2024-01-08,Kalimantan,102,3243,9060,593,5817
2024-01-09,Sulawesi,145,5709,12287,103,6578
2024-01-10,Sulawesi,106,3081,18905,253,15824
2024-01-11,Sulawesi,185,7779,8619,541,840
2024-01-12,Sulawesi,81,2455,15512,128,13057
2024-01-13,Sumatra,169,6924,8342,208,1418
2024-01-14,Sulawesi,96,2894,17568,197,14674
2024-01-15,Kalimantan,183,3384,9832,314,6448
2024-01-16,Sumatra,112,3958,9824,392,5866
2024-01-17,Kalimantan,88,5072,8994,174,3922
2024-01-18,Kalimantan,122,3996,18150,425,14154
2024-01-19,Kalimantan,197,6285,17230,245,10945
2024-01-20,Kalimantan,127,2504,10490,227,7986
2024-01-21,Sumatra,118,3214,18869,440,15655
2024-01-22,Sumatra,172,3531,16310,141,12779
2024-01-23,Kalimantan,121,5440,14984,455,9544
2024-01-24,Kalimantan,198,2823,8604,140,5781
2024-01-25,Sumatra,105,2928,19219,521,16291
2024-01-26,Sumatra,178,7029,7235,133,206
2024-01-27,Sumatra,129,7236,17161,116,9925
2024-01-28,Sulawesi,104,2133,19621,264,17488
2024-01-29,Sulawesi,103,4105,8908,252,4803
2024-01-30,Sulawesi,92,5627,15567,585,9940
2024-01-31,Kalimantan,139,6780,10530,477,3750
2024-02-01,Sulawesi,86,3852,12256,175,8404
2024-02-02,Kalimantan,136,6910,9635,186,2725
2024-02-03,Kalimantan,115,7268,15162,216,7894
2024-02-04,Sulawesi,124,6175,16762,461,10587
2024-02-05,Kalimantan,99,4933,9560,441,4627
2024-02-06,Sulawesi,144,5284,12415,568,7131
2024-02-07,Sulawesi,87,6298,10391,126,4093
2024-02-08,Sumatra,189,4811,18157,412,13346
2024-02-09,Sulawesi,95,7348,18835,386,11487
2024-02-10,Sumatra,93,7795,12951,233,5156
2024-02-11,Sulawesi,155,3250,12468,318,9218
2024-02-12,Sulawesi,194,7778,15007,267,7229
2024-02-13,Sumatra,166,7651,19042,197,11391
2024-02-14,Sumatra,94,5512,16064,367,10552
2024-02-15,Sulawesi,171,3256,16444,336,13188
2024-02-16,Kalimantan,177,5376,13413,408,8037
2024-02-17,Sumatra,145,7645,13941,554,6296
2024-02-18,Kalimantan,111,7262,16506,493,9244
2024-02-19,Kalimantan,166,5486,11820,272,6334
2024-02-20,Kalimantan,142,5584,9898,500,4314
2024-02-21,Sumatra,165,3396,14546,509,11150
2024-02-22,Kalimantan,130,5637,7077,568,1440
2024-02-23,Sumatra,104,5330,14577,575,9247
2024-02-24,Kalimantan,137,4703,17813,289,13110
2024-02-25,Sulawesi,142,2470,11227,221,8757
2024-02-26,Sulawesi,141,7131,7600,145,469
2024-02-27,Sumatra,101,3353,8065,163,4712
